"cal_year","cal_month","shortage","sam_0","sam_1","sam_2","sam_3","sam_6","sam_9","sam_12","oni_detrended_0","oni_detrended_1","oni_detrended_2","oni_detrended_3","oni_detrended_6","oni_detrended_9","oni_detrended_12","soi_0","soi_1","soi_2","soi_3","soi_6","soi_9","soi_12","precip_30","precip_61","precip_91","precip_183","precip_273","precip_365","mean_day_tmin_30","mean_day_tmin_61","mean_day_tmin_91","mean_day_tmin_183","mean_day_tmin_273","mean_day_tmin_365","mean_day_tmax_30","mean_day_tmax_61","mean_day_tmax_91","mean_day_tmax_183","mean_day_tmax_273","mean_day_tmax_365","heat_day_30","heat_day_61","heat_day_91","heat_day_183","heat_day_273","heat_day_365"
1999,4,"not_shortage",2.44,-1.39,0.56,2.26,-0.26,2.13,2.89,-1,-0.9,-1.31,-1.69,-1.41,-0.86,0.9,1.4,1.3,1,1.8,1.1,1.2,-1.4,222.28791218996,413.07099031657,821.066484484822,1256.57767405733,1504.29604022019,1714.38115331158,17.622759437561,18.9952483812968,19.9074775360443,20.1891034444173,18.9711827498216,17.6822706875736,23.0866793950399,24.5871720949809,25.1786134950407,25.5593278499249,24.4855722420382,23.4173005718074,455.407825469971,1003.38597869873,1588.99723339081,3271.06807661057,4573.35368919373,5671.9314699173
1999,5,"not_shortage",2.51,2.44,-1.39,0.56,2.84,2.66,1.11,-1.02,-1,-0.9,-1.31,-1.38,-1.25,0.7,0.2,1.4,1.3,1,1,1.2,0.3,155.137353949249,385.235487096012,576.355693623424,1273.0396684669,1557.69928467833,1786.60398674384,16.1001254717509,16.7612047036489,17.9988846307272,19.8271788560628,19.2212810027294,17.7256303081774,21.1254316329956,22.0318346977234,23.4191042721927,25.1719135638795,24.6592013809707,23.2961881924982,411.46328496933,860.364441394806,1427.08741521835,3201.62142419815,4629.00149345398,5667.20360422134
1999,6,"not_shortage",-1.81,2.51,2.44,-1.39,2.59,0.74,1.31,-1.05,-1.02,-1,-0.9,-1.64,-1.26,-0.24,0.3,0.2,1.4,1.3,1.4,1,1,293.672445356846,448.809799306095,679.24506085366,1423.69770077243,1745.59290627018,2029.82716291025,12.2828063329061,14.1914659023285,15.333522765191,18.3898145279598,18.7306605712835,17.6623808978355,18.4704813639323,19.797956498464,20.9079448993389,23.7712281232323,24.2507609273051,23.2233923533191,307.298268318176,718.761553287506,1186.40753030777,2934.2709774971,4494.3364033699,5640.59622240067
1999,7,"not_shortage",0.72,-1.81,2.51,2.44,2.26,-0.26,2.13,-1.05,-1.05,-1.02,-1,-1.69,-1.41,-0.86,0.5,0.3,0.2,1.4,1.8,1.1,1.2,174.131157470867,488.482070466504,643.665894215927,1472.87972805835,1901.60956785269,2156.10928379372,12.357600625356,12.2873638629913,13.5757541866093,16.7330815362149,17.9932582736452,17.6156338521879,18.4717709859212,18.3705975532532,19.356999198159,22.2671364435081,23.5150491972983,23.2005297621636,314.494770050049,619.521569728851,1043.98857736588,2645.22396230698,4297.10627651215,5629.58041810989
1999,8,"not_shortage",1.44,0.72,-1.81,2.51,0.56,2.84,2.66,-1.19,-1.05,-1.05,-1.02,-1.31,-1.38,-1.25,0.4,0.5,0.3,0.2,1,1,1.2,128.527588780969,303.504061380401,618.191249089316,1194.59341251291,1874.38434717618,2175.93700356781,11.9679784138997,12.1572823206584,12.1982556856596,15.0988404581456,17.2733995102264,17.4591753868208,19.5567594528198,19.0882456143697,18.7994665208754,21.133213480965,23.0581376910646,23.2005522061701,325.964262962341,640.713819026947,955.351407051086,2395.44254493713,4138.65301036835,5597.35662317276
1999,9,"not_shortage",0.16,1.44,0.72,-1.81,-1.39,2.59,0.74,-1.09,-1.19,-1.05,-1.05,-0.9,-1.64,-1.26,-0.1,0.4,0.5,0.3,1.3,1.4,1,54.8204534035176,183.348042184487,358.660789497197,1058.63078778982,1787.84190268442,2124.97863320634,14.7658143043518,13.3668963591258,13.0384822363382,14.1804924219684,16.5554948394552,17.2963010343787,22.0325159708659,20.7946377118429,20.0400462517372,20.4684349852182,22.4750413719988,23.1878310948202,405.101428985596,731.065691947937,1055.42603635788,2252.56582069397,3959.36507606506,5560.4946937561
2000,1,"not_shortage",3.59,3.12,1.83,3.35,0.72,2.44,2.26,-1.77,-1.7,-1.5,-1.19,-1.05,-1,-1.69,0.7,1.4,1,1,0.5,1.4,1.8,219.302359707654,369.231010451913,469.230918008834,805.465297499672,1440.64413879812,2257.89312293008,21.0911469141642,19.8594840367635,19.1627386323698,17.0911856739899,15.9203269630125,16.8690544128418,26.6111244837443,25.9617403348287,25.1542957431667,23.6214649429738,22.2254302685077,22.9048476023217,567.175456047058,1076.50266933441,1564.89523887634,2818.2336397171,3847.66019010544,5432.20858573914
2000,10,"shortage",1.21,-3.2,-1.22,0.52,0.97,3.59,3.35,-0.65,-0.52,-0.47,-0.55,-0.75,-1.77,-1.19,1.1,0.9,0.7,-0.2,1.2,0.7,1,97.4922866821289,100.484988886863,123.97594438307,331.038892442361,645.022516429424,1124.2567970939,16.7436018625895,15.4511092742284,13.2669915419358,11.7663683826155,13.9043241970705,15.2335840911081,24.5415718078613,25.2577849706014,23.6357775677691,21.5075023004918,22.8311593890627,23.4168830662558,462.479405403137,924.193610668182,1227.19383335114,2126.97062838078,3645.17520296574,5227.21182882786
2000,11,"shortage",-1.32,1.21,-3.2,-1.22,1.9,2.32,1.83,-0.71,-0.65,-0.52,-0.47,-0.74,-1.53,-1.5,1.8,1.1,0.9,0.7,0.4,1.7,1,91.204374987632,188.696661669761,192.21120057255,355.072560377419,666.764032047242,1115.46126452461,18.4311009407043,17.5873514016469,16.3759755826258,12.677851276971,13.7921290843041,15.2821292413424,24.2568833033244,24.3992275555929,24.9196023626642,22.0253948878721,22.5981657705901,23.47338496169,498.250273227692,960.729678630829,1432.44018101692,2275.89146995544,3605.43871223927,5253.09527695179
2000,12,"not_shortage",-2.05,-1.32,1.21,-3.2,-0.31,0.74,3.12,-0.88,-0.71,-0.65,-0.52,-0.64,-0.93,-1.7,0.8,1.8,1.1,0.9,-0.2,1.3,1.4,84.970428775996,180.332760959864,278.121963530779,326.540388252586,670.418255580589,1054.95791564137,21.2751346588135,19.9470122814178,18.8530888295436,14.6242790951755,14.0060994363093,15.5137161993001,27.7401585261027,26.1689767519633,25.5574684562264,23.6599004359845,22.7545969756968,23.6875003187624,580.970888137817,1086.50431776047,1563.69630765915,2590.84711074829,3653.81042969227,5330.70894825459
